[2024-12-30 21:06:21,173][root][INFO] - Epoch 0, EarlyStopper reset counter
[2024-12-30 21:10:34,497][root][INFO] - Epoch 43, EarlyStopper reset counter
[2024-12-30 21:10:40,307][root][INFO] - Epoch 44, EarlyStopper counter: 1/10
[2024-12-30 21:10:46,143][root][INFO] - Epoch 45, EarlyStopper reset counter
[2024-12-30 21:10:51,946][root][INFO] - Epoch 46, EarlyStopper counter: 1/10
[2024-12-30 21:10:58,181][root][INFO] - Epoch 47, EarlyStopper counter: 2/10
[2024-12-30 21:11:04,169][root][INFO] - Epoch 48, EarlyStopper counter: 3/10
[2024-12-30 21:11:10,028][root][INFO] - Epoch 49, EarlyStopper counter: 4/10
[2024-12-30 21:11:15,798][root][INFO] - Epoch 50, EarlyStopper reset counter
[2024-12-30 21:11:22,124][root][INFO] - Epoch 51, EarlyStopper counter: 1/10
[2024-12-30 21:11:27,836][root][INFO] - Epoch 52, EarlyStopper counter: 2/10
[2024-12-30 21:11:33,593][root][INFO] - Epoch 53, EarlyStopper counter: 3/10
[2024-12-30 21:11:39,847][root][INFO] - Epoch 54, EarlyStopper reset counter
[2024-12-30 21:11:45,826][root][INFO] - Epoch 55, EarlyStopper counter: 1/10
[2024-12-30 21:11:51,715][root][INFO] - Epoch 56, EarlyStopper reset counter
[2024-12-30 21:11:57,514][root][INFO] - Epoch 57, EarlyStopper counter: 1/10
[2024-12-30 21:12:03,181][root][INFO] - Epoch 58, EarlyStopper counter: 2/10
[2024-12-30 21:12:09,202][root][INFO] - Epoch 59, EarlyStopper counter: 3/10
[2024-12-30 21:12:15,222][root][INFO] - Epoch 60, EarlyStopper reset counter
[2024-12-30 21:12:21,021][root][INFO] - Epoch 61, EarlyStopper counter: 1/10
[2024-12-30 21:12:26,846][root][INFO] - Epoch 62, EarlyStopper counter: 2/10
[2024-12-30 21:12:33,214][root][INFO] - Epoch 63, EarlyStopper counter: 3/10
[2024-12-30 21:12:38,939][root][INFO] - Epoch 64, EarlyStopper counter: 4/10
[2024-12-30 21:12:45,191][root][INFO] - Epoch 65, EarlyStopper counter: 5/10
[2024-12-30 21:12:51,617][root][INFO] - Epoch 66, EarlyStopper counter: 6/10
[2024-12-30 21:12:57,710][root][INFO] - Epoch 67, EarlyStopper counter: 7/10
[2024-12-30 21:13:04,101][root][INFO] - Epoch 68, EarlyStopper counter: 8/10
[2024-12-30 21:13:09,909][root][INFO] - Epoch 69, EarlyStopper counter: 9/10
[2024-12-30 21:13:16,140][root][INFO] - Epoch 70, EarlyStopper counter: 10/10
